left_out_item_id,accuracy_difference,accuracy_difference_delta_from_full,controller_commitment_validity,commitment_validity_delta_from_full,G,G_delta_from_full,C,C_delta_from_full,D,D_delta_from_full
sample_592,0.19491525423728817,0.011581920903954823,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11389538281706604,-0.0037599844145723704,0.1694915254237288,0.0028248587570621486
sample_594,0.17796610169491534,-0.005367231638418013,0.9745762711864406,-0.0004237288135593431,0.19915254237288138,-0.005014124293785283,0.11681765049678552,-0.0008377167348528891,0.1694915254237288,0.0028248587570621486
sample_607,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_624,0.1694915254237288,-0.013841807909604542,0.9745762711864406,-0.0004237288135593431,0.1906779661016949,-0.013488700564971756,0.11228813559322032,-0.005367231638418096,0.15254237288135594,-0.014124293785310715
sample_665,0.18644067796610175,0.003107344632768405,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.12134716540035068,0.0036917981687122625,0.1694915254237288,0.0028248587570621486
sample_675,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_681,0.18644067796610175,0.003107344632768405,0.9830508474576272,0.008050847457627186,0.211864406779661,0.007697740112994345,0.12397720631209819,0.0063218390804597735,0.1864406779661017,0.01977401129943504
sample_685,0.17796610169491534,-0.005367231638418013,0.9745762711864406,-0.0004237288135593431,0.19915254237288138,-0.005014124293785283,0.11681765049678552,-0.0008377167348528891,0.1694915254237288,0.0028248587570621486
sample_687,0.18644067796610175,0.003107344632768405,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.12134716540035068,0.0036917981687122625,0.1694915254237288,0.0028248587570621486
sample_688,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_694,0.1694915254237288,-0.013841807909604542,0.9745762711864406,-0.0004237288135593431,0.1906779661016949,-0.013488700564971756,0.11228813559322032,-0.005367231638418096,0.15254237288135594,-0.014124293785310715
sample_713,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_72,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_741,0.1694915254237288,-0.013841807909604542,0.9745762711864406,-0.0004237288135593431,0.1906779661016949,-0.013488700564971756,0.11228813559322032,-0.005367231638418096,0.15254237288135594,-0.014124293785310715
sample_743,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_746,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_755,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
sample_761,0.18644067796610164,0.003107344632768294,0.9745762711864406,-0.0004237288135593431,0.2076271186440678,0.0034604519774011355,0.11813267095265928,0.0004773037210208664,0.1694915254237288,0.0028248587570621486
